Timestamp,Title,Caption,Image,Link to News,Image Title
2/18/2023 23:00:36,"COP27 기후재앙 손실피해 보상, 명확한 예측 시급",International Symposium on Climate and Water Future,https://drive.google.com/open?id=1258hmR_nClQvLLFC1mCRi2w6Hpgxf3-6,https://n.news.naver.com/article/030/0003061517,0003061517_001_20221124162603400 - Khaknazar Mukash.jpg
2/18/2023 23:00:36,"COP27 기후재앙 손실피해 보상, 명확한 예측 시급",International Symposium on Climate and Water Future,https://drive.google.com/file/d/1x2kDejI0dyp6aEPx_Q3maXtAgLStc3Mx/view,https://n.news.naver.com/article/030/0003061517,0003061517_002_20221124162603468.jpg
2/18/2023 23:00:36,MetaLab Team,Party for our freshly graduated students,https://drive.google.com/file/d/1-jfYMfYSxOyd44WuwsdZDzURJHpUkgMt/view,https://earth.kaist.ac.kr/,20230215_211608.jpg
