Timestamp,Title,Journal,Publication Year,Authors,Field,Link
,Global terrestrial water storage and drought severity under climate change,Nature Climate Change,2021,"Pokhrel, Y., Felfelani, F., Satoh, Y., Boulange, J., Burek, P., Gädeke, A., Gerten, D., Gosling, S.N., Grillakis, M., Gudmundsson, L., Hanasaki, N., Kim, H., Koutroulis, A., Liu, J., Papadimitriou, L., Schewe, J., Müller Schmied, H., Stacke, T., Telteu, C.-E., Thiery, W., Veldkamp, T., Zhao, F., Wada, Y.",28.862,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100196380&doi=10.1038%2fs41558-020-00972-w&partnerID=40&md5=4af981631ed777cc45ccdd8902647198
,Scientific and human errors in a snow model intercomparison,Bulletin of the American Meteorological Society,2021,"Menard, C.B., Essery, R., Krinner, G., Arduini, G., Bartlett, P., Boone, A., Brutel-Vuilmet, C., Burke, E., Cuntz, M., Dai, Y., Decharme, B., Dutra, E., Fang, X., Fierz, C., Gusev, Y., Hagemann, S., Haverd, V., Kim, H., Lafaysse, M., Marke, T., Nasonova, O., Nitta, T., Niwano, M., Pomeroy, J., Schädler, G., Semenov, V.A., Smirnova, T., Strasser, U., Swenson, S., Turkov, D., Wever, N., Yuan, H.",9.116,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098224845&doi=10.1175%2fBAMS-D-19-0329.1&partnerID=40&md5=d063fc92951c4f90797f361eca4783a6
,Snow cover duration trends observed at sites and predicted by multiple models,Cryosphere,2020,"Essery, R., Kim, H., Wang, L., Bartlett, P., Boone, A., Brutel-Vuilmet, C., Burke, E., Cuntz, M., Decharme, B., Dutra, E., Fang, X., Gusev, Y., Hagemann, S., Haverd, V., Kontu, A., Krinner, G., Lafaysse, M., Lejeune, Y., Marke, T., Marks, D., Marty, C., Menard, C.B., Nasonova, O., Nitta, T., Pomeroy, J., Schädler, G., Semenov, V., Smirnova, T., Swenson, S., Turkov, D., Wever, N., Yuan, H.",5.805,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098206631&doi=10.5194%2ftc-14-4687-2020&partnerID=40&md5=6e431f48b18f6eec55ee727bc76071ac
,"Author Correction: Observed controls on resilience of groundwater to climate variability in sub-Saharan Africa (Nature, (2019), 572, 7768, (230-234), 10.1038/s41586-019-1441-7)",Nature,2020,"Cuthbert, M.O., Taylor, R.G., Favreau, G., Todd, M.C., Shamsudduha, M., Villholth, K.G., MacDonald, A.M., Scanlon, B.R., Kotchoni, D.O.V., Vouillamoz, J.-M., Lawson, F.M.A., Adjomayi, P.A., Kashaigili, J., Seddon, D., Sorensen, J.P.R., Ebrahim, G.Y., Owor, M., Nyenje, P.M., Nazoumou, Y., Goni, I., Ousmane, B.I., Sibanda, T., Ascott, M.J., Macdonald, D.M.J., Agyekum, W., Koussoubé, Y., Wanke, H., Kim, H., Wada, Y., Lo, M.-H., Oki, T., Kukuric, N.",69.504,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096979714&doi=10.1038%2fs41586-020-2985-2&partnerID=40&md5=7c4ba11300ccca3aaecc05bc931429c7
,Evaluation of precipitation vertical profiles estimated by GPM-Era satellite-based passive microwave retrievals,Journal of Hydrometeorology,2020,"Utsumi, N., Turk, F.J., Haddad, Z.S., Kirstetter, P.-E., Kim, H.",4.871,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099040987&doi=10.1175%2fJHM-D-20-0160.1&partnerID=40&md5=3733508e38784a5214358b09994ac559
,Abrupt shift to hotter and drier climate over inner East Asia beyond the tipping point,Science,2020,"Zhang, P., Jeong, J.-H., Yoon, J.-H., Kim, H., Simon Wang, S.-Y., Linderholm, H.W., Fang, K., Wu, X., Chen, D.",63.832,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096948694&doi=10.1126%2fscience.abb3368&partnerID=40&md5=34d2e5d1b3df4b9b936f93f16ed8a2e2
,Global aridity changes due to differences in surface energy and water balance between 1.5 C and 2 C warming,Environmental Research Letters,2020,"Takeshima, A., Kim, H., Shiogama, H., Lierhammer, L., Scinocca, J.F., Seland, O., Mitchell, D.",6.947,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092072141&doi=10.1088%2f1748-9326%2fab9db3&partnerID=40&md5=735cfb926838988be99a3da5fbd09484
,Intensification of the East Asian summer monsoon lifecycle based on observation and CMIP6,Environmental Research Letters,2020,"Park, J., Kim, H., Simon Wang, S.-Y., Jeong, J.-H., Lim, K.-S., Laplante, M., Yoon, J.-H.",6.947,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092061770&doi=10.1088%2f1748-9326%2fab9b3f&partnerID=40&md5=6033c648beaea16ec6d771f3d96c9daf
,Observed changes in dry-season water availability attributed to human-induced climate change,Nature Geoscience,2020,"Padrón, R.S., Gudmundsson, L., Decharme, B., Ducharne, A., Lawrence, D.M., Mao, J., Peano, D., Krinner, G., Kim, H., Seneviratne, S.I.",21.531,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087362907&doi=10.1038%2fs41561-020-0594-1&partnerID=40&md5=7b385f389830ddb953cde27d5714fb77
,The PROFOUND Database for evaluating vegetation models and simulating climate impacts on European forests,Earth System Science Data,2020,"Reyer, C.P.O., Silveyra Gonzalez, R., Dolos, K., Hartig, F., Hauf, Y., Noack, M., Lasch-Born, P., Rötzer, T., Pretzsch, H., Meesenburg, H., Fleck, S., Wagner, M., Bolte, A., Sanders, T.G.M., Kolari, P., Mäkelä, A., Vesala, T., Mammarella, I., Pumpanen, J., Collalti, A., Collalti, A., Trotta, C., Matteucci, G., D'Andrea, E., Foltýnová, L., Krejza, J., Ibrom, A., Pilegaard, K., Loustau, D., Bonnefond, J.-M., Berbigier, P., Picart, D., Lafont, S., Dietze, M., Cameron, D., Vieno, M., Tian, H., Palacios-Orueta, A., Cicuendez, V., Recuero, L., Wiese, K., Büchner, M., Lange, S., Volkholz, J., Kim, H., Horemans, J.A., Bohn, F., Steinkamp, J., Chikalanov, A., Weedon, G.P., Sheffield, J., Babst, F., Babst, F., Vega Del Valle, I., Suckow, F., Martel, S., Mahnken, M., Gutsch, M., Frieler, K.",11.815,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089753036&doi=10.5194%2fessd-12-1295-2020&partnerID=40&md5=122d80e48abd71ed42d53616380465b6
